username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
newsagielle;2015-11-14 12:14;2;1;"Francia: Meloni, ora basta sbarchi, immigrati a casa http://ift.tt/1O8nImf # gzagato http://ift.tt/1rKWMRu";;;#;"665487961656553472";https://twitter.com/newsagielle/status/665487961656553472
Newsinunclick;2015-11-14 12:06;0;0;"@ Newsinunclick altri sbarchi....altri arrivi.. https://twitter.com/Emergenza24/status/665485730597220352 …";;@;;"665485889620090880";https://twitter.com/Newsinunclick/status/665485889620090880
CarloTrapasso;2015-11-14 11:58;0;0;"@ GiuMangiacasale la maggior parte degli sbarchi avvengono per le stesse persone colpevoli degli attentanti di Parigi # PrayForParis";;@;#;"665483932041875456";https://twitter.com/CarloTrapasso/status/665483932041875456
markitetto;2015-11-14 11:54;0;0;"È da tempo che bisognava stoppare gli sbarchi dei profughi perché questi bastardi approfittano dei canali umanitari per arrivare da noi!";;;;"665482918047928321";https://twitter.com/markitetto/status/665482918047928321
RadioAttivo2;2015-11-14 11:01;0;0;"@ nikita82roma @ matteorenzi ci sono già stati vicini con gli sbarchi";;@ @;;"665469660490547200";https://twitter.com/RadioAttivo2/status/665469660490547200
GB_SaveChildren;2015-11-14 10:59;1;0;"Oggi # sbarchi a Pozzallo, Catania e, in corso, a Trapani. Ci sono decine di # minori, molti dei quali solipic.twitter.com/ju91yoWcj2";;;# #;"665469049124560896";https://twitter.com/GB_SaveChildren/status/665469049124560896
mimmamax;2015-11-14 10:56;1;0;"# coffeebreakla7 Fateci sapere quanti sbarchi ci sono questa mattina sulle nostre coste...";;;#;"665468298096721920";https://twitter.com/mimmamax/status/665468298096721920
AdriPantera111;2015-11-14 10:54;3;2;"@ BuonannoG noi siamo il ponte del terrore se facciamo entrare sempre piu'profughi;gli sbarchi non sono controllati...nessun Paese e'sicuro";;@;;"665467774664384512";https://twitter.com/AdriPantera111/status/665467774664384512
Grandeftpiano;2015-11-14 10:51;0;2;"Sono a tipo 9 minuti da Pozzallo, probabilmente lo hai sentito in TV per tutti gli sbarchi. https://twitter.com/lovingtheband/status/665466743142424576 …";;;;"665466989348016128";https://twitter.com/Grandeftpiano/status/665466989348016128
carmenlecis;2015-11-14 10:39;0;0;"@ caragli1 ..Renzi ha perlato bene...ora vediamo i fatti...basta sbarchi!";;@;;"665464102190493696";https://twitter.com/carmenlecis/status/665464102190493696
