username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hardcorejudas;2015-10-06 07:34;2;0;"Paure infondate su malattie degli immigrati quando il vero pericolo sono i nostri connazionali: https://twitter.com/uaar_it/status/651298356086476802 …";;;;"651299446723096576";https://twitter.com/hardcorejudas/status/651299446723096576
Topgun20001;2015-09-24 07:52;0;0;"Raitre#agora' vergognatevi di fare cabaret su malattie degli italiani e dovete prendere 10 miliardi per investire in assistenza immigrati ?";;;#agora;"646955340840468480";https://twitter.com/Topgun20001/status/646955340840468480
ValeriaShardana;2015-09-23 15:11;0;0;"@ Piovegovernolad si deve attendere che scoppi l'allarme contagio per capire che questi immigrati portano anche malattie ?? @ matteosalvinimi";;@ @;;"646703527667068928";https://twitter.com/ValeriaShardana/status/646703527667068928
andreaquarantae;2015-09-16 15:34;0;1;"@ danffi @perottostile Genio. Pari solo al tipo che non vaccina suo figlio, ma attenzione alle malattie degli immigrati perché non vaccinati.";;@ @perottostile;;"644172575136985088";https://twitter.com/andreaquarantae/status/644172575136985088
SardegnaToday;2015-09-13 12:47;0;0;"'InOnda' Sindaco anti immigrati "Delinquono e portano malattie" e contro i gay "Vanno tassati".... http://fb.me/7WzaxFTqw";;;;"643043446492667905";https://twitter.com/SardegnaToday/status/643043446492667905
revengeCat;2015-09-10 17:37;0;1;"..cartello shock in frontiera:"gli immigrati portano malattie" la malattia più temuta,che portano gli immigrati,si chiama "reclamolibertà"..";;;;"642029184219508736";https://twitter.com/revengeCat/status/642029184219508736
Pattygiart;2015-09-10 07:18;0;0;"per sapere quante malattie hanno gli immigrati venite a Castel Volturno un ghettooramai radicato e abbandonato .";;;;"641873455474954240";https://twitter.com/Pattygiart/status/641873455474954240
ResistNazionale;2015-09-09 11:45;0;0;""Gli immigrati portano malattie e rischiate di essere contagiati". L'avviso alla cittadinanza in un manifesto... http://fb.me/3b6v5iXDL";;;;"641578244844589056";https://twitter.com/ResistNazionale/status/641578244844589056
fbistrus;2015-09-09 11:07;0;0;""Gli immigrati portano malattie" dicono certi uni senza alcuna competenza. Io l'unica malattia che non vorrei è la vostra stupidità!";;;;"641568686063677440";https://twitter.com/fbistrus/status/641568686063677440
ideafix63;2015-09-04 23:50;0;0;"A vote non ci sono soluzioni,,bisogna imparere a convivere,e accettere,, # un esempio alqune malattie#immigrati#amori persi#dittatori#pensa";;;# #immigrati #amori #dittatori #pensa;"639948801990656001";https://twitter.com/ideafix63/status/639948801990656001
