1142744616111939584;Persil‏;@PersilQ;In risposta a @matteosalvinimi;2019-06-23 12:42:02;L'Unione Europea esiste solo in qualche mente bacata;L'Unione Europea esiste solo in qualche mente bacata;;2;16;1142741380390969346;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.
1142750195073081344;LoSfacciato  🇮🇹‏;@LFacciato;In risposta a @matteosalvinimi;2019-06-23 13:04:12;Bisogna farsi sentire col primo ministro Mark Rutte via @MinPres e chiedere che intervenga a salvaguardia dei cittadini presenti su una barca olandese. Se fossero su una nave da crociera o su un cargo con petrolio sarebbe così assente? Olanda,prenditi le tue responsabilità.;Bisogna farsi sentire col primo ministro Mark Rutte via @MinPres e chiedere che intervenga a salvaguardia dei cittadini presenti su una barca olandese. Se fossero su una nave da crociera o su un cargo con petrolio sarebbe così assente? Olanda,prenditi le tue responsabilità.;1;2;8;1142741380390969346;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.
1142759767120797697;Enrico‏;@chiccoligtning;In risposta a @LFacciato, @matteosalvinimi e @MinPres;2019-06-23 13:42:14;I “cittadini” come li chiami tu, sono in realtà CLANDESTINI e non sarebbero a bordo né di un cargo ne’ di una nave da crociera.  La verità è che nemmeno l’Olanda li vuole.;I cittadini” come li chiami tu, sono in realtà CLANDESTINI e non sarebbero a bordo né di un cargo ne’ di una nave da crociera.  La verità è che nemmeno l’Olanda li vuole.;1;;2;1142741380390969346;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.
1142761502656618497;LoSfacciato  🇮🇹‏;@LFacciato;In risposta a @chiccoligtning, @matteosalvinimi e @MinPres;2019-06-23 13:49:08;La valutazione di chi sono e cosa sono spetta all'Olanda... Per me sono cittadini su suolo olandese. Di più non so.;La valutazione di chi sono e cosa sono spetta all'Olanda... Per me sono cittadini su suolo olandese. Di più non so.;1;;1;1142741380390969346;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.
1142762014529527808;Enrico‏;@chiccoligtning;In risposta a @LFacciato, @matteosalvinimi e @MinPres;2019-06-23 13:51:10;Ma insomma... cosa vuoi che siano... Africani senza documenti, altrimenti avrebbero preso un’aereo e attraversato una dogana regolarmente.;Ma insomma... cosa vuoi che siano... Africani senza documenti, altrimenti avrebbero preso un’aereo e attraversato una dogana regolarmente.;1;;1;1142741380390969346;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.
1142764064747204608;LoSfacciato  🇮🇹‏;@LFacciato;In risposta a @chiccoligtning, @matteosalvinimi e @MinPres;2019-06-23 13:59:19;Nemmeno mi voglio concentrare a capire chi siano. Proprio non mi interessa. Piuttosto mi interessa che non sbarchino in Italia e che l'Olanda faccia la sua parte.;Nemmeno mi voglio concentrare a capire chi siano. Proprio non mi interessa. Piuttosto mi interessa che non sbarchino in Italia e che l'Olanda faccia la sua parte.;1;;2;1142741380390969346;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.
1142765326989504513;Enrico‏;@chiccoligtning;In risposta a @LFacciato, @matteosalvinimi e @MinPres;2019-06-23 14:04:20;Vi è una grande ipocrisia attorno a questi flussi. A porte chiuse, li pianificano per convenienze varie, pubblicamente non prendono iniziative impopolari e poi tanto ci pensa l’Italia...;Vi è una grande ipocrisia attorno a questi flussi. A porte chiuse, li pianificano per convenienze varie, pubblicamente non prendono iniziative impopolari e poi tanto ci pensa l’Italia...;1;;2;1142741380390969346;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.
1142766085734883328;LoSfacciato  🇮🇹‏;@LFacciato;In risposta a @chiccoligtning, @matteosalvinimi e @MinPres;2019-06-23 14:07:21;Bravo! Per questo motivo ho twittato anche a Mark Rutte.;Bravo! Per questo motivo ho twittato anche a Mark Rutte.;;;1;1142741380390969346;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.
1142741377916252161;Matteo Salvini‏Account verificato;@matteosalvinimi;;2019-06-23 12:29:10;Ho scritto personalmente al mio collega ministro olandese: sono incredulo perché si stanno disinteressando di una nave con la loro bandiera, peraltro usata da una Ong tedesca, che da ormai undici giorni galleggia in mezzo al mare.pic.twitter.com/n7omeJC0dq;Ho scritto personalmente al mio collega ministro olandese: sono incredulo perché si stanno disinteressando di una nave con la loro bandiera, peraltro usata da una Ong tedesca, che da ormai undici giorni galleggia in mezzo al mare.  ;;;;1142741380390969346;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.
1142742099051368449;Mauro GHERARDI  🇮🇹‏;@GHERARDIMAURO1;In risposta a @matteosalvinimi;2019-06-23 12:32:02;BENISSIMO. MA OCCORREVA BLOCCO NAVALE, GIA' DALL' EPOCA RENZI/GENTILONI.  TRENTA NON FUNZIONA.  URGE PROSSIMO GOVERNO  MELONI MINISTRO DELLA DIFESA.  SALUTI CORDIALISSIMI;BENISSIMO. MA OCCORREVA BLOCCO NAVALE, GIA' DALL' EPOCA RENZI/GENTILONI.  TRENTA NON FUNZIONA.  URGE PROSSIMO GOVERNO  MELONI MINISTRO DELLA DIFESA.  SALUTI CORDIALISSIMI;1;1;6;1142741380390969346;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.;Riterremo il governo olandese, e l’Unione Europea assente e lontana come sempre, responsabili di qualunque cosa accadrà alle donne e agli uomini a bordo della #SeaWatch.
